fixture,degradation_kind,degradation_level,seed,width,height,laplacian_variance,sharpness_score,mean_luminance,median_luminance,luminance_std,contrast_score,shadow_clip_fraction,highlight_clip_fraction,quality_flags,opencv_version,pipeline_version
gradient,reduce_contrast,0.1,0,256,256,0.203125,0.000203125,0.5370557598039216,0.5372549019607843,0.029000743077263115,0.09411764705882353,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
gradient,glare,0.0,0,256,256,0.03125,3.125e-05,0.5186734068627451,0.5352941176470588,0.29503772191970534,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,glare,0.3,0,256,256,0.641082763671875,0.000641082763671875,0.5486738616344975,0.611764705882353,0.30181186057970166,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,glare,0.5,0,256,256,0.776580810546875,0.000776580810546875,0.5686950085209865,0.6392156862745098,0.3117407558895609,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,glare,0.7,0,256,256,0.7821044912561774,0.0007821044912561774,0.5860237869561887,0.6666666666666666,0.32200058507970514,0.9568627450980393,0.0234375,0.06976318359375,BLUR_RISK|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
gradient,glare,0.9,0,256,256,0.7755126943811774,0.0007755126943811775,0.5984038109872856,0.6862745098039216,0.3282629150143517,0.9647058823529412,0.0234375,0.103759765625,BLUR_RISK|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
gradient,occlude,0.0,0,256,256,0.03125,3.125e-05,0.5186734068627451,0.5352941176470588,0.29503772191970534,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,occlude,0.1,0,256,256,368.6033020019531,0.3686033020019531,0.44202922746246937,0.43137254901960786,0.31822607662968444,0.9607843137254902,0.1235504150390625,0.0234375,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
gradient,occlude,0.2,0,256,256,472.8585205078125,0.4728585205078125,0.37538619695925246,0.3254901960784314,0.32967607841682034,0.9607843137254902,0.22174072265625,0.0234375,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
gradient,occlude,0.35,0,256,256,575.9269714355469,0.5759269714355468,0.28415449553844974,0.15294117647058825,0.32848833659627147,0.9607843137254902,0.3713531494140625,0.0234375,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
gradient,occlude,0.5,0,256,256,648.5672912597656,0.6485672912597656,0.203628599877451,0.0,0.31002968235375966,0.9411764705882353,0.5233306884765625,0.0234375,UNDEREXPOSED|SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
textured_object,none,0.0,0,256,256,1036.1915588378906,1.0,0.47763444489123774,0.3843137254901961,0.1225483241037543,0.2980392156862745,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,gaussian_blur,0.0,0,256,256,1036.1915588378906,1.0,0.47763444489123774,0.3843137254901961,0.1225483241037543,0.2980392156862745,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,gaussian_blur,0.5,0,256,256,276.4627685546875,0.2764627685546875,0.47722455193014707,0.3843137254901961,0.11980092753032454,0.2784313725490196,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,gaussian_blur,1.0,0,256,256,10.04132080078125,0.01004132080078125,0.4769653918696385,0.3843137254901961,0.11770649590059576,0.25882352941176473,0.0,0.0,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
textured_object,gaussian_blur,2.0,0,256,256,1.63909912109375,0.00163909912109375,0.4768659404679841,0.3843137254901961,0.11620245109355246,0.25098039215686274,0.0,0.0,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
textured_object,gaussian_blur,3.0,0,256,256,1.002227783203125,0.001002227783203125,0.4768254897173713,0.3843137254901961,0.11496001448065982,0.24705882352941178,0.0,0.0,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
textured_object,gaussian_blur,5.0,0,256,256,0.67578125,0.00067578125,0.47669294768688725,0.3843137254901961,0.11246170869647207,0.24705882352941178,0.0,0.0,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
textured_object,gaussian_blur,8.0,0,256,256,0.828704833984375,0.000828704833984375,0.476498353247549,0.39215686274509803,0.10859127975392147,0.24705882352941178,0.0,0.0,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
textured_object,underexpose,1.0,0,256,256,1036.1915588378906,1.0,0.47763444489123774,0.3843137254901961,0.1225483241037543,0.2980392156862745,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,underexpose,0.8,0,256,256,664.3521423339844,0.6643521423339844,0.3840238084980086,0.3058823529411765,0.10260061804319838,0.25098039215686274,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,underexpose,0.6,0,256,256,374.5694580078125,0.3745694580078125,0.28830494600183826,0.22745098039215686,0.0799774013133388,0.19607843137254902,0.0,0.0,LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,underexpose,0.4,0,256,256,166.15048217773438,0.16615048217773437,0.18495429543887867,0.1411764705882353,0.05752035558613984,0.1411764705882353,0.0,0.0,UNDEREXPOSED|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,underexpose,0.25,0,256,256,66.61398315429688,0.06661398315429687,0.1010897767310049,0.07058823529411765,0.04001752403229924,0.09803921568627451,0.0,0.0,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,underexpose,0.15,0,256,256,23.6971435546875,0.0236971435546875,0.05269452263327206,0.0392156862745098,0.018197721811311927,0.050980392156862744,0.0,0.0,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,overexpose,1.0,0,256,256,1036.1915588378906,1.0,0.47763444489123774,0.3843137254901961,0.1225483241037543,0.2980392156862745,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,overexpose,1.3,0,256,256,1489.7598266601562,1.0,0.6051124722349878,0.49411764705882355,0.14562622239784806,0.3568627450980392,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,overexpose,1.6,0,256,256,1849.9958190917969,1.0,0.7119651046453738,0.6,0.14820340269940868,0.37254901960784315,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,overexpose,2.0,0,256,256,420.1445617675781,0.42014456176757814,0.8218296425015319,0.7333333333333333,0.11408250511205831,0.24705882352941178,0.0,0.0391082763671875,OVEREXPOSED,5.0.0,phase1-capture-quality-1.0.0
textured_object,overexpose,2.6,0,256,256,187.59677124023438,0.18759677124023438,0.9497076894722732,0.9294117647058824,0.026231857462829737,0.06274509803921569,0.0,0.1790618896484375,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
textured_object,overexpose,3.5,0,256,256,230.91024780273438,0.23091024780273436,0.9963770847694546,1.0,0.006968391302279718,0.0196078431372549,0.0,0.90771484375,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
textured_object,reduce_contrast,1.0,0,256,256,1036.1915588378906,1.0,0.47763444489123774,0.3843137254901961,0.1225483241037543,0.2980392156862745,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,reduce_contrast,0.8,0,256,256,662.0889587402344,0.6620889587402343,0.48897106694240194,0.41568627450980394,0.0964282435727982,0.23529411764705882,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,reduce_contrast,0.6,0,256,256,373.682373046875,0.373682373046875,0.4983038210401348,0.44313725490196076,0.07265127059455233,0.1803921568627451,0.0,0.0,LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,reduce_contrast,0.4,0,256,256,166.19378662109375,0.16619378662109374,0.5130199357575062,0.47843137254901963,0.045773852128892144,0.11372549019607843,0.0,0.0,LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,reduce_contrast,0.25,0,256,256,66.61398315429688,0.06661398315429687,0.5201328053193934,0.4980392156862745,0.029235044042793302,0.07450980392156863,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,reduce_contrast,0.1,0,256,256,11.660430908203125,0.011660430908203125,0.5300578397863052,0.5215686274509804,0.011297611887361636,0.027450980392156862,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
textured_object,glare,0.0,0,256,256,1036.1915588378906,1.0,0.47763444489123774,0.3843137254901961,0.1225483241037543,0.2980392156862745,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,glare,0.3,0,256,256,1015.7229614257812,1.0,0.5056607713886335,0.38823529411764707,0.15762565869315442,0.41568627450980394,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,glare,0.5,0,256,256,974.0755310058594,0.9740755310058594,0.5227681477864583,0.39215686274509803,0.18132011549257962,0.5019607843137255,0.0,0.0043182373046875,,5.0.0,phase1-capture-quality-1.0.0
textured_object,glare,0.7,0,256,256,875.043060301803,0.875043060301803,0.5366330015893076,0.396078431372549,0.19933917998666334,0.5882352941176471,0.0,0.0407562255859375,,5.0.0,phase1-capture-quality-1.0.0
textured_object,glare,0.9,0,256,256,800.757659911178,0.8007576599111781,0.547022980334712,0.4,0.21093841584786924,0.6039215686274509,0.0,0.0743255615234375,HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
textured_object,occlude,0.0,0,256,256,1036.1915588378906,1.0,0.47763444489123774,0.3843137254901961,0.1225483241037543,0.2980392156862745,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
textured_object,occlude,0.1,0,256,256,1002.408203125,1.0,0.42051613003599875,0.3843137254901961,0.1802151951664015,0.6784313725490196,0.1001129150390625,0.0,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
textured_object,occlude,0.2,0,256,256,879.5450439453125,0.8795450439453125,0.36423447552849264,0.3843137254901961,0.20778718252073716,0.6705882352941176,0.19830322265625,0.0,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
textured_object,occlude,0.35,0,256,256,623.2296752929688,0.6232296752929688,0.2804806578393076,0.3843137254901961,0.21954417046799427,0.6431372549019608,0.3479156494140625,0.0,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
textured_object,occlude,0.5,0,256,256,395.4166259765625,0.3954166259765625,0.20158870921415442,0.3843137254901961,0.20698239523611517,0.3843137254901961,0.4998931884765625,0.0,UNDEREXPOSED|SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,none,0.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,gaussian_blur,0.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,gaussian_blur,0.5,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,gaussian_blur,1.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,gaussian_blur,2.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,gaussian_blur,3.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,gaussian_blur,5.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,gaussian_blur,8.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,underexpose,1.0,0,256,256,0.0,0.0,0.5372549019607843,0.5372549019607843,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
uniform_mid,underexpose,0.8,0,256,256,0.0,0.0,0.43137254901960786,0.43137254901960786,0.0,0.0,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
